seller_id,total_payment_value,ranking,seller_state
7c67e1448b00f6e969d365cea6b010ab,507166.91,1,SP
1025f0e2d44d7041d6cf58b6550e0bfa,308222.04,2,SP
4a3ca9315b744ce9f8e9374361493884,301245.27,3,SP
1f50f920176fa81dab994f9023523100,290253.42,4,SP
53243585a1d6dc2643021fd1853d8905,284903.08,5,BA
da8622b14eb17ae2831f4ac5b9dab84a,272219.32,6,SP
4869f7a5dfa277a7dca6462dcf3b52b2,264166.12,7,SP
955fee9216a65b617aa5c0531780ce60,236322.3,8,SP
fa1c13f2614d7b5c4749cbc52fecda94,206513.23,9,SP
7e93a43ef30c4f03f38b393420bc753a,185134.21,10,SP
6560211a19b47992c3666cc44a7e94c0,179657.75,11,SP
7a67c85e85bb2ce8582c35f2203ad736,169030.8,12,SP
25c5c91f63607446a97b143d2d535d31,160534.74,13,MG
a1043bafd471dff536d0c462352beb48,154356.91,14,MG
46dc3b2cc0980fb8ec44634e21d2718e,148864.34,15,RJ
b37c4c02bda3161a7546a4e6d222d5b2,145319.04,16,SP
620c87c171fb2a6dd6e8bb4dec959fc6,145267.95,17,RJ
cc419e0650a3c5ba77189a1882b7556a,141309.58,18,SP
5dceca129747e92ff8ef7a997dc4f8ca,132974.42,19,SP
3d871de0142ce09b7081e2b9d1733cb1,131982.15,20,SP
